USER_ID,AVERAGE_SPEND,PLACE_ID,DESCRIPTION
HDLW,51,TVGXASFFMR,User id HDLW has an average spend of $51 at place id TVGXASFFMR
NPAX,71,HRZKEYPCMT,User id NPAX has an average spend of $71 at place id HRZKEYPCMT
OLDR,174,YZRXZYFVOU,User id OLDR has an average spend of $174 at place id YZRXZYFVOU
NGOB,174,OXHTJXNBMF,User id NGOB has an average spend of $174 at place id OXHTJXNBMF
TYLU,134,CKLGBEAVQI,User id TYLU has an average spend of $134 at place id CKLGBEAVQI
PXVC,22,VCQTYKAKOK,User id PXVC has an average spend of $22 at place id VCQTYKAKOK
XJJG,262,ATEWZCQSXR,User id XJJG has an average spend of $262 at place id ATEWZCQSXR
XIJU,47,MPRRFWBKGE,User id XIJU has an average spend of $47 at place id MPRRFWBKGE
LZRI,49,KEBNSNTBWM,User id LZRI has an average spend of $49 at place id KEBNSNTBWM
VIVG,339,VJQRKPJMDJ,User id VIVG has an average spend of $339 at place id VJQRKPJMDJ
FGDH,21,LBIMAGSFGP,User id FGDH has an average spend of $21 at place id LBIMAGSFGP
UDRI,20,RXOBNRBBIN,User id UDRI has an average spend of $20 at place id RXOBNRBBIN
DSTP,18,SHEZBWDNDJ,User id DSTP has an average spend of $18 at place id SHEZBWDNDJ
ULJA,467,RJDINISVWU,User id ULJA has an average spend of $467 at place id RJDINISVWU
SVBG,464,YJVSFKDSMB,User id SVBG has an average spend of $464 at place id YJVSFKDSMB
NUNU,272,NBRCOPUSZI,User id NUNU has an average spend of $272 at place id NBRCOPUSZI
KTQP,491,TVGXASFFMR,User id KTQP has an average spend of $491 at place id TVGXASFFMR
NZGQ,408,NBRCOPUSZI,User id NZGQ has an average spend of $408 at place id NBRCOPUSZI
FZFZ,360,KEBNSNTBWM,User id FZFZ has an average spend of $360 at place id KEBNSNTBWM
WVVX,377,EBBKNLSOUW,User id WVVX has an average spend of $377 at place id EBBKNLSOUW
NDJL,75,YJVSFKDSMB,User id NDJL has an average spend of $75 at place id YJVSFKDSMB
HMVK,483,NBRCOPUSZI,User id HMVK has an average spend of $483 at place id NBRCOPUSZI
AENS,487,XAPVVMMZVY,User id AENS has an average spend of $487 at place id XAPVVMMZVY
CPXH,47,RETRVFUYCH,User id CPXH has an average spend of $47 at place id RETRVFUYCH
HEKS,58,YJVSFKDSMB,User id HEKS has an average spend of $58 at place id YJVSFKDSMB
JWDD,328,RJDINISVWU,User id JWDD has an average spend of $328 at place id RJDINISVWU
AQGW,398,HRZKEYPCMT,User id AQGW has an average spend of $398 at place id HRZKEYPCMT
XBIH,150,IJURXFHLAA,User id XBIH has an average spend of $150 at place id IJURXFHLAA
PJJF,348,EBBKNLSOUW,User id PJJF has an average spend of $348 at place id EBBKNLSOUW
TOGZ,20,FGPECDDLPE,User id TOGZ has an average spend of $20 at place id FGPECDDLPE
JEPE,186,HMVFBBLGLY,User id JEPE has an average spend of $186 at place id HMVFBBLGLY
RFJD,191,JLECYTYVVL,User id RFJD has an average spend of $191 at place id JLECYTYVVL
LYIQ,463,OJXJCTLDZQ,User id LYIQ has an average spend of $463 at place id OJXJCTLDZQ
APSZ,105,TVGXASFFMR,User id APSZ has an average spend of $105 at place id TVGXASFFMR
WZXB,241,UJYEBDXFCJ,User id WZXB has an average spend of $241 at place id UJYEBDXFCJ
FRNY,466,RETRVFUYCH,User id FRNY has an average spend of $466 at place id RETRVFUYCH
MSOF,120,YZRXZYFVOU,User id MSOF has an average spend of $120 at place id YZRXZYFVOU
KXZJ,103,ZUQBNZEDMO,User id KXZJ has an average spend of $103 at place id ZUQBNZEDMO
RKQD,369,XOCUFDKIWP,User id RKQD has an average spend of $369 at place id XOCUFDKIWP
OFEO,474,LBIMAGSFGP,User id OFEO has an average spend of $474 at place id LBIMAGSFGP
CVPN,365,HMVFBBLGLY,User id CVPN has an average spend of $365 at place id HMVFBBLGLY
WFFZ,362,PXHWTMFHGC,User id WFFZ has an average spend of $362 at place id PXHWTMFHGC
BSAG,156,IJURXFHLAA,User id BSAG has an average spend of $156 at place id IJURXFHLAA
VJUE,318,UTIATWJZND,User id VJUE has an average spend of $318 at place id UTIATWJZND
